theme,gap,neutre
réalisation cinématographique et audiovisuelle,20.8,20.8
organisation d'évènementiel,20.8,33.3
maçonnerie,20.8,20.8
économie,20.799999999999997,25.0
sciences des ressources agro-alimentaires,20.799999999999997,25.0
géographie de l'aménagement et du développement,20.799999999999997,25.0
développement et protection du patrimoine culturel,20.799999999999997,20.8
direction des centres de loisirs ou culturels,20.799999999999997,29.2
construction de décors de spectacle,18.2,27.3
biopharmacologie,18.2,31.8
biologie médicale,18.2,36.4
optique - lunetterie,17.400000000000002,39.1
météorologie,17.4,21.7
biochimie de l'eau et de l'environnement,17.4,30.4
animation touristique et culturelle,17.4,21.7
négociation et vente,16.700000000000003,33.3
géographie,16.700000000000003,33.3
biologie de l'agronomie et de l'agriculture,16.700000000000003,16.7
techniques de l'imprimerie et de l'édition,16.7,37.5
relation commerciale en vente de véhicules,16.7,41.7
conseil en organisation et management d'entreprise,16.7,41.7
analyse de crédits et risques bancaires,16.7,37.5
trésorerie et financement,16.599999999999998,25.0
restauration des oeuvres d'art,16.599999999999998,25.0
"ressources humaines, gestion de l'emploi",16.599999999999998,41.7
personnel polyvalent d'hôtellerie,16.599999999999998,41.7
"comptabilité, gestion",16.599999999999998,20.8
arts appliqués à la communication et à l'audiovisuel,16.599999999999998,41.7
linguistique,14.3,47.6
courtage en assurances,13.100000000000001,26.1
chimie,13.100000000000001,26.1
littérature et philosophie,13.0,34.8
montage audiovisuel et post-production,12.500000000000004,25.0
"langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation",12.500000000000004,25.0
informatique en biologie,12.500000000000004,29.2
journalisme et information média,12.5,33.3
droit des affaires,12.5,33.3
communication,12.5,37.5
droit de la santé,9.100000000000001,45.5
"chimie-biologie, biochimie",9.100000000000001,18.2
biochimie des produits alimentaires,9.1,59.1
"traduction,interprétariat",9.099999999999998,27.3
stylisme,8.700000000000003,13.0
epistémologie des sciences humaines,8.700000000000003,52.2
assistance de direction d'hôtel-restaurant,8.700000000000003,30.4
conseil clientèle en assurances,8.7,47.8
psychologie,8.699999999999996,34.8
travail du bois et de l'ameublement,8.400000000000006,25.0
pharmacie,8.400000000000006,20.8
diététique,8.400000000000006,25.0
philosophie du langage,8.3,33.3
protection du patrimoine naturel,8.299999999999997,37.5
gestion touristique et hôtelière,4.800000000000001,52.4
physique-chimie,4.600000000000001,45.5
image cinématographique et télévisuelle,4.599999999999998,27.3
vente en alimentation,4.199999999999999,41.7
management des ressources humaines,4.199999999999999,45.8
"gestion et mise à disposition de ressources documentaires, conservation des archives",4.100000000000001,58.3
psychopédagogie,4.099999999999998,33.3
peinture industrielle,4.099999999999998,29.2
biochimie appliquée aux procédés industriels,4.099999999999998,37.5
élevage bovin ou équin,0.0,16.7
transaction immobilière,0.0,34.8
"traduction, interprétariat",0.0,25.0
sciences sociales,0.0,25.0
psychologie clinique,0.0,33.3
photographie,0.0,37.5
"philosophie, éthique et théologie",0.0,41.7
médecine généraliste et spécialisée,0.0,41.7
marketing,0.0,25.0
"littérature appliquée à la documentation, communication, lettres et enseignement",0.0,21.7
gestion en banque et assurance,0.0,37.5
gestion de patrimoine culturel,0.0,29.2
défense et conseil juridique,0.0,50.0
aménagement paysager,0.0,45.8
assistance médico-technique,-2.599999999999998,39.5
éclairage spectacle,-4.099999999999998,37.5
charcuterie - traiteur,-4.099999999999998,33.3
art dramatique,-4.099999999999998,29.2
régie générale,-4.199999999999999,50.0
réalisation d'objets artistiques et fonctionnels en verre,-4.199999999999999,45.8
gérance immobilière,-4.199999999999999,41.7
"réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",-4.299999999999997,39.1
journalisme et communication,-4.299999999999997,43.5
"coiffure, esthétique et autres spécialites de services aux personnes",-4.300000000000004,17.4
philosophie du droit,-4.5,40.9
secrétariat comptable,-4.599999999999998,27.3
reprographie,-8.299999999999997,29.2
aide et médiation judiciaire,-8.299999999999997,29.2
médecine dentaire,-8.3,25.0
sociologie et travail social,-8.399999999999999,50.0
"langues vivantes, civilisations étrangères et régionales",-8.399999999999999,50.0
"droit, sciences politiques",-8.400000000000006,20.8
boulangerie - viennoiserie,-8.699999999999996,34.8
orthophonie,-8.7,47.8
personnel de cuisine,-8.700000000000003,21.7
animation de loisirs auprès d'enfants ou d'adolescents,-12.499999999999996,37.5
éducation en activités sportives,-12.500000000000004,25.0
cuisine,-13.0,30.4
interprétariat et traduction,-13.100000000000001,17.4
arts du cirque et arts visuels,-13.100000000000001,26.1
soins infirmiers spécialisés en anesthésie,-16.599999999999998,50.0
service en restauration,-16.599999999999998,25.0
retouches en habillement,-16.599999999999998,20.8
"français, littérature et civilisation française",-16.7,41.7
accueil touristique,-16.7,41.7
intervention socioéducative,-16.700000000000003,33.3
esthétique,-16.700000000000003,29.2
conseil en information médicale,-18.2,36.4
services domestiques,-20.799999999999997,29.2
psychologie de la santé,-20.799999999999997,25.0
toilettage des animaux,-24.999999999999996,33.3
costume et habillage spectacle,-24.999999999999996,25.0
secrétariat et assistanat médical ou médico-social,-25.000000000000004,41.7
travail social,-26.1,34.8
poissonnerie,-26.1,34.8
linguistique et didactique des langues,-29.099999999999998,37.5
danse,-33.3,33.3
aide en puériculture,-33.3,16.7
éducation de jeunes enfants,-33.400000000000006,25.0
fabrication textile,-33.400000000000006,45.8
accompagnement et médiation familiale,-33.400000000000006,25.0
maquillage de scène,-34.8,34.8
"pâtisserie,confiserie,chocolaterie et glacerie",-37.5,20.8
arts plastiques,-37.5,29.2
mannequinat et pose artistique,-41.599999999999994,20.8
soins infirmiers spécialisés en puériculture,-45.900000000000006,33.3
création textile,-45.900000000000006,4.2
"dentellerie, broderie",-50.0,33.3
soins infirmiers généralistes,-54.2,20.8
coiffure,-56.5,17.4
