theme,gap,neutre
direction des centres de loisirs ou culturels,14.3,57.1
charcuterie - traiteur,14.3,52.4
biopharmacologie,14.3,38.1
biologie médicale,13.700000000000001,59.1
biochimie appliquée aux procédés industriels,13.700000000000001,54.5
boulangerie - viennoiserie,13.7,40.9
agriculture,13.600000000000001,45.5
production et exploitation de systèmes d'information,13.0,34.8
magistrature,13.0,26.1
architecture du btp et du paysage,12.5,62.5
vente technico-commerciale des produits de la forêt et de la pêche,10.0,45.0
"langues vivantes, civilisations étrangères et régionales",10.0,45.0
journalisme et information média,10.0,45.0
intervention socioéducative,10.0,50.0
"comptabilité, gestion",10.0,40.0
relation commerciale en vente de véhicules,9.5,28.6
journalisme et communication,9.5,28.6
epistémologie des sciences humaines,9.5,61.9
aide en puériculture,9.5,52.4
économie,9.100000000000001,50.0
"réalisation d'ouvrages en bijouterie,joaillerie et orfèvrerie",9.100000000000001,50.0
navigation fluviale,9.100000000000001,45.5
mécanique générale et de précision,9.100000000000001,31.8
secrétariat et assistanat médical ou médico-social,9.1,59.1
peinture industrielle,8.700000000000003,47.8
géographie,8.700000000000003,52.2
arts plastiques,8.700000000000003,56.5
sommellerie,8.399999999999999,41.7
secrétariat comptable,5.199999999999999,42.1
animation touristique et culturelle,5.199999999999996,31.6
sciences sociales,5.0,55.0
psychologie,5.0,50.0
orthophonie,5.0,55.0
marketing,5.0,60.0
encadrement de la navigation maritime,5.0,65.0
réalisation cinématographique et audiovisuelle,4.800000000000001,42.9
maquillage de scène,4.800000000000001,52.4
"littérature appliquée à la documentation, communication, lettres et enseignement",4.800000000000001,47.6
"dentellerie, broderie",4.800000000000001,61.9
conseil en information médicale,4.800000000000001,42.9
préparation en pharmacie,4.699999999999996,33.3
négociation et vente,4.699999999999996,28.6
enseignement des écoles,4.699999999999996,38.1
sciences des ressources agro-alimentaires,4.600000000000001,40.9
animation musicale et scénique,4.600000000000001,45.5
pharmacie,4.5,54.5
"droit, sciences politiques",4.5,50.0
chaudronnerie - tôlerie,4.400000000000002,52.2
création textile,4.399999999999999,26.1
chimie,4.300000000000001,56.5
biochimie des produits alimentaires,4.300000000000001,47.8
fabrication et affinage de fromages,4.299999999999997,34.8
"recherche en sciences de l'univers,de la matière et du vivant",4.100000000000001,58.3
soins infirmiers spécialisés en anesthésie,4.099999999999998,33.3
"traduction,interprétariat",0.0,42.9
psychologie clinique,0.0,26.1
personnel de cuisine,0.0,66.7
organisation d'évènementiel,0.0,61.9
médecine généraliste et spécialisée,0.0,34.8
linguistique et didactique des langues,0.0,30.4
linguistique,0.0,45.0
histoire,0.0,20.0
esthétique,0.0,33.3
développement et protection du patrimoine culturel,0.0,52.6
droit des affaires,0.0,52.4
conseil clientèle en assurances,0.0,63.6
"chimie-biologie, biochimie",0.0,59.1
"réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",-4.400000000000002,52.2
coiffure,-4.5,40.9
animation de loisirs auprès d'enfants ou d'adolescents,-4.5,36.4
gérance immobilière,-4.699999999999999,61.9
transaction immobilière,-5.0,35.0
fabrication textile,-5.0,30.0
entretien des espaces naturels,-5.0,60.0
accueil touristique,-5.0,35.0
éclairage spectacle,-5.899999999999999,35.3
psychologie de la santé,-8.7,47.8
comptabilité,-8.7,69.6
diététique,-8.700000000000003,47.8
psychopédagogie,-9.099999999999998,22.7
arts du cirque et arts visuels,-9.099999999999998,22.7
sociologie et travail social,-9.100000000000001,50.0
danse,-9.499999999999996,33.3
"assistance informatique, maintenance de logiciels et réseaux",-9.499999999999996,33.3
services domestiques,-10.0,25.0
physique,-10.0,50.0
arts appliqués à la communication et à l'audiovisuel,-13.700000000000001,50.0
art dramatique,-14.299999999999997,42.9
langues et civilisations anciennes,-15.0,55.0
gestion en banque et assurance,-15.0,35.0
mannequinat et pose artistique,-18.999999999999996,52.4
retouches en habillement,-19.099999999999998,28.6
soins infirmiers spécialisés en puériculture,-22.7,40.9
"coiffure, esthétique et autres spécialites de services aux personnes",-22.700000000000003,50.0
travail social,-23.8,47.6
photographie,-23.8,61.9
costume et habillage spectacle,-28.6,33.3
stylisme,-31.499999999999996,52.6
