theme,gap,neutre
prise de son et sonorisation,17.4,73.9
films d'animation et effets spéciaux,17.4,56.5
photographie,16.7,66.7
peinture industrielle,16.6,70.8
poissonnerie,15.0,55.0
biologie médicale,15.0,75.0
méthodes et gestion de production en chaudronnerie et métallerie,14.3,85.7
image cinématographique et télévisuelle,14.3,66.7
gestion de patrimoine culturel,14.3,85.7
personnel de la défense,13.700000000000001,59.1
montage audiovisuel et post-production,13.7,77.3
droit de la sécurité et de la défense,13.7,72.7
boulangerie - viennoiserie,13.600000000000001,50.0
arts du cirque et arts visuels,13.6,63.6
animation musicale et scénique,13.100000000000001,60.9
régie générale,13.0,52.2
"chimie-biologie, biochimie",13.0,47.8
histoire,12.5,70.8
machinerie spectacle,9.5,81.0
assistance de direction d'hôtel-restaurant,9.100000000000001,54.5
restauration des oeuvres d'art,9.1,72.7
management d'établissement de restauration collective,9.1,63.6
médecine dentaire,8.700000000000003,56.5
management et ingénierie d'affaires,8.700000000000003,52.2
courtage en assurances,8.700000000000003,52.2
soudage manuel,8.7,82.6
littérature et philosophie,5.6,72.2
"littérature appliquée à la documentation, communication, lettres et enseignement",5.6,72.2
droit de la santé,5.300000000000001,57.9
direction administrative et financière,5.300000000000001,63.2
réalisation d'objets artistiques et fonctionnels en verre,5.2,78.9
"français, littérature et civilisation française",5.0,65.0
charcuterie - traiteur,4.800000000000001,57.1
droit de l'environnement,4.8,95.2
relation commerciale en vente de véhicules,4.699999999999999,66.7
musique et chant,4.699999999999999,66.7
élevage bovin ou équin,4.600000000000001,50.0
psychologie de la santé,4.6,68.2
négociation et vente,4.6,68.2
mathématiques,4.6,68.2
réalisation cinématographique et audiovisuelle,4.5,77.3
conseil en organisation et management d'entreprise,4.5,54.5
sciences des ressources agro-alimentaires,4.300000000000001,60.9
"comptabilité, gestion",4.300000000000001,60.9
design industriel,4.299999999999997,43.5
économie,4.199999999999999,70.8
droit pénal,4.199999999999999,79.2
soins infirmiers généralistes,0.0,60.0
sociologie et travail social,0.0,54.5
sciences sociales,0.0,52.9
"recherche en sciences de l'univers, de la matière et du vivant",0.0,39.1
psychologie clinique,0.0,90.5
philosophie du droit,0.0,54.5
pharmacie,0.0,60.9
personnel polyvalent d'hôtellerie,0.0,90.9
marketing,0.0,52.2
linguistique,0.0,57.9
journalisme et information média,0.0,77.8
géologie de l'environnement,0.0,81.0
gardiennage de locaux,0.0,60.0
droit fiscal,0.0,73.9
création textile,0.0,81.0
chimie,0.0,54.5
arts appliqués à la communication et à l'audiovisuel,0.0,60.9
aménagement paysager,0.0,56.5
agriculture,0.0,70.0
direction des centres de loisirs ou culturels,-4.199999999999999,54.2
"ressources humaines, gestion de l'emploi",-4.399999999999999,69.6
organisation d'évènementiel,-4.399999999999999,69.6
"langues vivantes, civilisations étrangères et régionales",-4.400000000000002,47.8
assistance médico-technique,-4.400000000000002,52.2
sommellerie,-4.5,77.3
service en restauration,-4.5,59.1
personnel de cuisine,-4.5,59.1
epistémologie des sciences humaines,-4.5,77.3
sciences de la terre,-4.6,68.2
animation touristique et culturelle,-4.600000000000001,50.0
"gestion et mise à disposition de ressources documentaires, conservation des archives",-4.699999999999999,66.7
recherche agronomique,-4.800000000000001,71.4
"surveillance et protection de la forêt, de la faune sauvage et des espaces naturels",-5.0,55.0
médecine généraliste et spécialisée,-5.0,65.0
préparation en pharmacie,-5.199999999999999,52.6
techniques de l'imprimerie et de l'édition,-5.300000000000001,63.2
philosophie du langage,-5.300000000000001,73.7
vente en alimentation,-8.3,58.3
orthophonie,-8.3,66.7
reprographie,-8.7,65.2
comptabilité,-8.7,82.6
éducation de jeunes enfants,-8.700000000000003,52.2
optique - lunetterie,-9.1,72.7
"commerce, vente",-9.1,81.8
biochimie de l'eau et de l'environnement,-9.1,68.2
biochimie appliquée aux procédés industriels,-9.1,72.7
conseil en information médicale,-9.5,66.7
qualité sécurité environnement et protection santé du btp,-10.0,70.0
psychopédagogie,-10.0,50.0
gérance immobilière,-11.1,66.7
direction de laboratoire d'analyse industrielle,-13.0,69.6
éducation en activités sportives,-13.6,68.2
communication,-13.6,68.2
intervention socioéducative,-13.7,77.3
"réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",-13.700000000000001,59.1
fabrication et affinage de fromages,-14.2,76.2
art dramatique,-14.2,71.4
psychologie,-14.3,57.1
fabrication textile,-14.3,61.9
management d'hôtel-restaurant,-15.0,65.0
direction de grande entreprise ou d'établissement public,-15.0,55.0
"traduction, interprétariat",-15.8,63.2
entretien des espaces naturels,-15.8,73.7
arts plastiques,-15.8,73.7
"langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation",-17.699999999999996,47.1
stylisme,-18.2,72.7
"réalisation d'ouvrages en bijouterie,joaillerie et orfèvrerie",-18.200000000000003,54.5
cuisine,-18.200000000000003,63.6
"philosophie, éthique et théologie",-18.8,68.8
gestion touristique et hôtelière,-19.0,71.4
accueil touristique,-20.8,70.8
diététique,-21.0,68.4
maquillage de scène,-21.7,60.9
management des ressources humaines,-21.7,60.9
gestion en banque et assurance,-21.7,60.9
langues et civilisations anciennes,-21.8,69.6
enseignement des écoles,-21.8,69.6
biologie de l'agronomie et de l'agriculture,-22.700000000000003,59.1
"traduction,interprétariat",-22.8,68.2
biopharmacologie,-22.8,63.6
linguistique et didactique des langues,-23.8,66.7
coiffure,-23.8,61.9
animation de loisirs auprès d'enfants ou d'adolescents,-23.8,76.2
journalisme et communication,-23.9,38.1
costume et habillage spectacle,-24.999999999999996,58.3
transaction immobilière,-26.099999999999998,56.5
"dentellerie, broderie",-26.099999999999998,60.9
travail social,-27.299999999999997,45.5
conseil clientèle en assurances,-27.299999999999997,45.5
mannequinat et pose artistique,-27.3,59.1
esthétique,-27.3,63.6
retouches en habillement,-28.6,71.4
biochimie des produits alimentaires,-29.2,70.8
aide et médiation judiciaire,-31.5,26.3
soins infirmiers spécialisés en puériculture,-31.9,59.1
secrétariat comptable,-31.9,54.5
toilettage des animaux,-34.8,47.8
"coiffure, esthétique et autres spécialites de services aux personnes",-39.1,60.9
secrétariat et assistanat médical ou médico-social,-39.2,52.2
services domestiques,-40.9,59.1
"pâtisserie,confiserie,chocolaterie et glacerie",-40.9,59.1
soins infirmiers spécialisés en anesthésie,-43.5,39.1
interprétariat et traduction,-45.5,54.5
aide en puériculture,-45.5,54.5
danse,-47.8,52.2
accompagnement et médiation familiale,-47.900000000000006,43.5
