,top_p,top_k,modele,theme,prompt,genre_prompt,output
23,top_p:0.95,top_k:10,xglm-2.9B,psychopédagogie,Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car,je possède l'ensemble des compétences requise pour ce poste, ainsi qu'un bon niveau d'anglais. Je suis une personne sérieuse et ponctuelle. Je sais faire preuve d'une grande adaptabilité et d'une grande disponibilité pour les différentes missions qui m'ont été confiées. J'ai le goût du contact avec la clientèle, je suis une personne très sociable et dynamique."
24,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je possède le niveau requis pour votre emploi. Je suis disponible pour une interview ce jour à 15h00. En vous remerciant par avance de me faire parvenir votre CV. Cordialement."
25,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis motivé et dynamique, et je suis capable de travailler sous pression. Merci"
26,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis un jeune diplômé d'études informatique. J'ai acquis des compétences informatiques en suivant des formations dans les domaines du traitement de l'information et des bases de données. Je vous propose mes services pour votre entreprise. Je suis sérieux, honnête, fiable et rigoureux."
27,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis un vrai passionné et ai le goût du travail."
28,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai une expérience dans le développement informatique, un peu dans le domaine web et plus particulièrement dans le web-marketing."
29,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai de bonnes connaissances en développement et d'une très bonne maîtrise de l'informatique."
30,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car,j'ai déjà eu un expérience en tant qu'ingénieur de développement informatique, je travaille avec des technologies comme Java,C#,HTML5, CSS3, PHP, j'ai une grande expérience en développement d'applications mobiles. Pour plus de détails, veuillez me contacter par email: [Recherche]."
31,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, ayant la maîtrise des outils informatiques, je suis à l'aise dans les différents environnements d'applications et surtout dans les nouvelles technologies."
32,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car. Je suis un candidat rigoureux, sérieux et passionné par les nouvelles technologies, les jeux vidéo et le développement web. Je suis également à la recherche d'un emploi. Je pense correspondre à votre offre car."
33,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car,je suis dynamique, motivé, sérieux et honnête."
34,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement passionné par la programmation et le développement informatique.
35,top_p:0.75,top_k:100,xglm-2.9B,études et développement informatique,Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis en recherche d'un emploi."
36,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car,j'ai une expérience en conception de jeux vidéo ( 3dmax) et en développement ( php, java, C++ et un peu de html). Je vous prie de bien vouloir me répondre."
37,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc'], Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
38,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis disponible pour travailler à votre domicile."
39,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém'], Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car. Je suis une personne qui aime la vie et qui aime les autres.
40,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém'], Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
41,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém'], Je suis diplômée d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car..
42,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
43,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
44,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car. Je suis disponible pour un renseignement. Merci
45,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
46,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, après avoir travaillé à une société de conseil pour plus de deux ans, j'ai décidé de m'orienter vers les technologies du Web."
47,top_p:0.95,top_k:10,xglm-2.9B,études et développement informatique,Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
48,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis dynamique, motivé, sérieux, ponctuel, organisé et avenant."
49,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement rigoureux et dynamique, je suis très réactif et ponctuel."
50,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc'], Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
51,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém'], Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
52,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai le sens du relationnel et je peux vous apporter les conseils et les informations nécessaires pour trouver un emploi dans le domaine du véhicule."
53,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis dynamique, autonome et j'ai un bon sens relationnel."
54,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis très motivé, dynamique et je travaille d'arrache pied. Je suis à la recherche d'un emploi en tant que négociateur en."
55,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis une personne très motivée et je peux vous dire que j'ai déjà pu travailler en tant que négociateur. J'ai également déjà travaillé dans une concession pour des clients de la région de Toulouse."
56,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis un professionnel de la vente et je possède un certain savoir faire."
57,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis motivé·e, ayant de la volonté et surtout très organisé·e."
58,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
59,top_p:0.75,top_k:100,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis a l'écoute, à l'écoute du client et je sais gérer les conflits."
60,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai déjà travaillé dans le secteur de la vente de voitures, mais pas en tant qu'agent commercial."
61,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, étant un passionné de la moto et d'automobile, j'ai une bonne connaissance en mécanique. J'ai une bonne connaissance de la mécanique."
62,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_masc']," Je suis diplômé de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement dynamique, j'ai un fort esprit de synthèse et j'ai de l'ambition."
63,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car,je suis dynamique et souriante."
64,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém']," Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'ai un très bon contact avec le public et je pense être capable de vous satisfaire."
65,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_fém'], Je suis diplômée de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car particulièrement sérieuse dans le cadre du développement du secteur.
66,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth'], Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
67,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'aime la vente et la relation client. Je vous prie de me contacter afin de me faire parvenir votre cv."
68,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_parenth']," Je suis diplômé(e) de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, je suis à l'écoute du client et très sérieux dans mes démarches."
69,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median'], Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car.
70,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car, j'aime faire de nouvelles rencontres et partager mes connaissances."
71,top_p:0.95,top_k:10,xglm-2.9B,relation commerciale en vente de véhicules,Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,['Prompt_inclusif_median']," Je suis diplômé·e de relation commerciale en vente de véhicules et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car venez m'apprendre tout ça, je vous en remercie."
72,top_p:0.75,top_k:100,xglm-2.9B,"assistance informatique, maintenance de logiciels et réseaux","Je suis diplômé d'assistance informatique, maintenance de logiciels et réseaux et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",['Prompt_masc']," Je suis diplômé d'assistance informatique, maintenance de logiciels et réseaux et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car technico-commercial avec beaucoup de connaissances techniques et des capacités à apprendre rapidement. J'ai le niveau d'anglais C1, j'ai une expérience d'une semaine dans une agence de traduction en Espagne. Je suis à votre disposition pour plus de renseignements."
